semesters_completed,cpi,internal_marks_percentage,attendance_percentage,total_backlogs,study_hours_weekly,pyq_solving_frequency,sleep_category,gaming_hours_weekly,extra_curricular_level,travel_time_category,department,performance_score,performance_category
0,8.47,66.1,52.1,-1,11.7,0,<6,11.6,Low,30-60,EE,52.71,Average
4,6.85,73.5,70.6,0,9.9,2,6-8,7.7,Low,<30,EC,62.01,Good
1,3.34,46.7,76.8,7,5.1,1,6-8,19.9,Medium,30-60,IT,31.26,At Risk
0,9.12,57.8,85.6,-1,20.8,4,6-8,7.8,High,<30,EE,77.49,Excellent
0,5.97,31.8,75.8,-1,4.6,0,>8,11.4,Medium,>60,IT,46.38,Average
7,4.49,42.1,70.6,3,9.9,0,<6,9.5,Low,30-60,EE,36.67,Below Average
3,8.14,81.6,81.5,0,22.8,3,<6,4.5,Medium,30-60,CE,74.21,Good
2,8.16,66.8,88.3,0,20.7,2,6-8,8.2,High,>60,ICT,71.04,Good
4,7.18,69.5,86.0,0,15.7,1,<6,6.6,High,30-60,IT,64.18,Good
1,5.88,65.3,73.1,0,17.2,2,6-8,9.0,High,>60,IT,57.92,Average
3,6.75,50.0,68.3,5,15.8,1,<6,13.3,Low,<30,EC,44.38,Average
1,6.64,50.8,70.3,4,11.1,1,<6,7.3,Medium,30-60,IT,47.29,Average
2,5.61,53.8,52.4,3,13.0,3,6-8,7.0,Low,30-60,EC,44.96,Average
7,4.69,40.8,74.4,4,7.4,0,<6,13.3,Low,30-60,ICT,35.0,At Risk
1,6.07,69.4,82.4,0,13.0,4,6-8,11.8,High,<30,ME,66.11,Good
3,7.31,55.4,67.3,7,15.2,3,<6,4.5,Medium,<30,EC,50.07,Average
5,5.73,51.0,67.2,6,3.0,0,>8,13.4,Low,<30,ICT,35.88,At Risk
7,8.26,87.3,92.8,0,26.5,3,6-8,1.4,High,30-60,EC,82.18,Excellent
7,7.47,58.1,84.8,2,15.3,4,<6,8.5,Medium,30-60,ME,64.28,Good
2,6.53,79.6,80.4,0,17.2,2,<6,6.2,Medium,30-60,EE,65.23,Good
7,6.31,57.1,76.2,1,10.9,0,<6,16.7,Medium,<30,ME,52.05,Average
2,6.39,54.2,81.3,2,20.0,2,<6,10.4,High,30-60,ME,55.83,Average
7,6.98,49.4,81.3,1,11.8,3,<6,7.1,High,30-60,EE,58.76,Average
0,8.43,59.8,72.1,-1,16.2,2,6-8,10.7,Low,30-60,CE,64.53,Good
1,8.1,73.3,93.1,0,21.1,4,6-8,5.0,Medium,<30,CE,81.13,Excellent
0,8.0,55.3,54.0,-1,16.7,3,6-8,6.4,Low,<30,EE,60.82,Good
2,6.15,57.3,66.0,2,5.2,2,>8,12.1,High,30-60,ICT,48.1,Average
6,7.03,66.2,86.0,4,14.3,2,6-8,1.9,High,<30,IT,62.39,Good
1,4.7,52.8,72.2,8,6.2,0,<6,8.3,Low,30-60,EC,30.36,At Risk
2,8.98,71.1,79.2,1,24.9,3,6-8,9.6,High,<30,EE,74.79,Good
2,3.99,40.0,70.3,3,11.8,0,6-8,12.6,Medium,>60,EC,37.55,Below Average
2,8.33,88.5,81.8,2,14.7,3,<6,5.8,Medium,<30,ME,71.68,Good
0,7.85,40.0,58.8,-1,12.1,1,<6,6.1,Low,<30,CE,52.55,Average
3,7.95,57.8,71.9,0,18.8,2,6-8,5.1,High,30-60,EE,65.4,Good
7,7.41,61.0,79.3,2,14.7,4,<6,6.5,Medium,<30,CE,64.6,Good
3,6.35,65.9,74.0,1,21.7,2,<6,10.2,Low,<30,ICT,58.24,Average
6,5.26,44.2,67.9,5,10.0,0,<6,10.4,Medium,30-60,IT,36.9,Below Average
4,5.41,49.8,75.3,6,3.0,1,6-8,14.0,High,>60,EE,37.86,Below Average
0,7.48,35.2,75.0,-1,8.9,0,6-8,9.7,Medium,<30,CE,56.97,Average
4,4.75,27.7,49.7,8,7.9,0,<6,14.0,Low,>60,EE,16.97,At Risk
7,7.72,74.3,92.4,0,18.3,2,<6,7.4,Medium,<30,CE,73.1,Good
4,6.52,61.4,69.1,1,20.0,4,>8,7.8,Low,<30,EC,60.86,Good
4,5.3,51.5,68.1,3,9.7,1,6-8,5.2,Low,>60,ICT,43.68,Average
5,7.88,91.7,82.0,0,26.7,2,<6,1.4,Low,30-60,CE,73.58,Good
6,6.08,56.4,67.6,6,15.8,0,>8,15.1,Medium,<30,IT,42.79,Below Average
4,7.02,64.3,78.8,3,11.4,1,<6,8.3,Low,<30,ME,54.45,Average
3,5.37,45.1,69.6,4,7.3,1,6-8,8.2,Medium,<30,ICT,44.93,Average
0,6.85,23.5,65.3,-1,8.7,0,<6,15.1,Low,30-60,ME,42.78,Below Average
1,4.64,31.2,72.1,5,9.0,1,6-8,15.5,High,<30,ICT,36.92,Below Average
5,6.58,42.6,69.0,2,15.7,1,>8,8.3,Medium,>60,ME,49.57,Average
4,7.02,75.1,92.6,1,18.4,5,6-8,7.6,Low,<30,EE,74.45,Good
2,6.6,53.3,81.5,2,16.4,2,6-8,8.1,Medium,<30,ME,61.1,Good
5,6.59,44.3,75.2,0,27.3,1,6-8,8.5,Low,30-60,CE,58.88,Average
2,4.71,37.7,69.8,4,3.0,0,<6,15.9,Medium,30-60,IT,33.35,At Risk
2,9.15,72.9,82.8,0,17.1,4,6-8,5.7,Medium,<30,EE,80.0,Excellent
0,6.12,67.2,89.5,-1,16.8,3,<6,7.8,High,30-60,IT,64.5,Good
4,7.31,43.5,72.7,4,15.1,2,>8,4.5,Low,<30,ICT,52.72,Average
2,5.89,79.3,68.0,1,20.2,3,>8,8.0,High,<30,ICT,61.02,Good
6,7.77,72.8,88.9,1,24.3,3,6-8,1.1,Low,30-60,ME,73.89,Good
6,8.0,72.6,82.9,0,19.5,4,6-8,2.7,Medium,>60,IT,74.91,Good
1,5.76,45.9,74.3,5,10.7,2,<6,7.8,Medium,>60,ICT,43.07,Average
1,5.13,35.3,55.1,5,9.2,1,>8,13.5,Medium,30-60,EC,32.86,At Risk
2,7.45,71.1,86.2,1,21.6,3,6-8,2.5,High,<30,EC,72.98,Good
4,4.97,38.4,66.9,2,14.4,0,6-8,14.0,Low,30-60,EE,40.8,Below Average
3,9.13,95.8,94.2,0,15.7,4,>8,1.7,High,30-60,EC,84.2,Excellent
3,5.6,58.8,74.5,2,11.7,2,6-8,9.2,Medium,>60,IT,52.57,Average
1,4.84,46.1,62.3,3,9.4,1,6-8,10.0,Low,30-60,CE,39.72,Below Average
2,4.63,26.4,67.4,1,5.5,1,>8,7.9,Medium,30-60,IT,40.84,Below Average
3,5.15,36.9,76.8,5,16.8,0,6-8,9.8,High,<30,EC,42.74,Below Average
7,6.81,66.4,70.9,0,13.7,1,6-8,4.6,Low,>60,CE,58.17,Average
6,6.21,68.1,65.9,5,7.1,1,<6,12.2,Low,<30,ICT,43.16,Average
6,4.9,50.5,58.0,6,10.4,0,6-8,12.1,Medium,<30,IT,35.76,At Risk
4,5.72,57.9,69.7,4,6.3,2,6-8,10.7,Medium,<30,EE,48.92,Average
3,5.07,41.2,60.7,4,3.6,0,<6,10.6,Medium,30-60,EC,33.65,At Risk
6,6.78,49.5,86.8,1,17.2,2,<6,10.2,Low,<30,EE,59.56,Good
3,7.15,66.3,75.0,1,13.0,1,>8,10.8,Low,>60,CE,55.84,Average
4,6.62,50.3,74.5,4,6.7,1,<6,10.5,Low,>60,ICT,43.26,Average
2,4.37,57.3,58.4,4,9.6,2,<6,12.2,Medium,<30,ME,39.02,Below Average
6,5.75,50.9,58.1,3,8.2,3,<6,13.0,High,<30,EE,43.69,Average
4,6.1,43.4,68.2,4,10.4,1,6-8,4.7,Medium,<30,ICT,48.07,Average
7,6.76,61.0,72.5,1,18.4,3,6-8,6.7,Medium,>60,EC,61.43,Good
4,6.26,62.4,72.5,1,12.0,3,>8,6.2,High,<30,EE,58.99,Average
1,6.92,74.0,85.9,2,24.7,2,<6,5.1,Medium,30-60,IT,65.84,Good
7,5.55,43.3,65.1,1,12.9,1,>8,9.3,High,>60,ICT,44.97,Average
4,3.88,41.2,65.6,4,13.6,0,6-8,13.4,High,<30,EE,36.17,Below Average
2,6.78,62.3,84.1,2,17.2,2,6-8,7.0,Low,30-60,ME,61.15,Good
2,4.9,58.6,69.2,3,16.0,2,<6,10.6,High,<30,EC,46.82,Average
1,3.77,47.0,64.5,7,4.9,0,6-8,19.4,High,30-60,CE,26.34,At Risk
0,7.87,52.2,79.5,-1,8.9,1,<6,9.0,Low,<30,EE,59.63,Good
3,7.49,63.8,91.0,4,18.6,1,6-8,6.6,High,<30,EC,63.47,Good
7,5.65,57.3,67.6,1,12.5,1,<6,4.0,Medium,>60,CE,49.41,Average
1,5.27,39.5,72.5,1,7.4,0,6-8,8.0,Medium,<30,CE,48.33,Average
7,6.59,54.2,64.5,3,16.3,1,6-8,7.1,Medium,>60,EE,50.22,Average
6,8.86,79.8,84.6,0,19.5,3,<6,0.1,Medium,>60,ICT,75.9,Good
6,6.29,74.0,70.6,3,11.4,1,6-8,5.3,Low,<30,ICT,54.6,Average
5,5.95,51.8,62.8,8,9.3,2,<6,11.2,Medium,<30,ME,37.58,Below Average
4,5.32,59.8,77.8,3,6.7,1,6-8,9.1,Low,>60,EE,46.51,Average
1,6.64,68.3,60.4,1,15.2,0,>8,10.4,Medium,<30,EC,53.98,Average
4,6.74,49.9,87.1,1,12.4,3,>8,4.6,Medium,<30,EE,64.39,Good
3,5.47,69.5,76.6,2,16.9,3,6-8,8.1,Medium,30-60,EE,59.09,Good
1,7.56,68.5,62.1,1,16.0,2,>8,4.6,Medium,>60,ME,59.13,Good
6,5.76,46.4,59.6,6,13.8,1,<6,7.4,Low,30-60,EE,35.74,At Risk
4,6.18,43.1,68.6,3,12.7,1,<6,10.2,Low,<30,IT,44.9,Average
5,6.59,67.2,70.4,2,14.8,4,<6,6.6,High,<30,EE,59.26,Good
3,5.03,46.2,59.9,8,10.3,2,<6,12.2,Low,<30,EC,30.93,At Risk
4,6.14,48.5,53.4,6,12.3,2,<6,11.3,Low,<30,ICT,36.96,Below Average
5,7.26,60.9,83.7,0,20.3,3,<6,5.1,High,30-60,CE,66.69,Good
2,7.87,65.6,80.4,0,16.5,2,6-8,3.3,High,>60,ME,67.57,Good
6,5.89,65.8,78.0,2,14.0,2,6-8,10.0,Medium,30-60,ICT,57.55,Average
3,6.15,55.3,76.3,4,15.2,1,>8,6.1,Medium,<30,EC,52.37,Average
5,5.05,54.1,57.3,8,10.0,0,<6,9.7,Low,30-60,IT,27.72,At Risk
2,7.12,58.9,77.0,4,15.0,2,<6,3.4,Medium,30-60,EC,55.61,Average
5,7.43,80.2,98.7,0,19.8,4,6-8,1.3,Low,<30,ME,80.55,Excellent
0,6.93,79.6,100.0,-1,23.0,5,6-8,0.0,Low,30-60,ICT,80.48,Excellent
7,7.5,72.4,77.1,1,21.4,3,6-8,7.2,Low,30-60,ME,67.21,Good
6,7.11,55.1,69.2,2,8.8,1,6-8,6.7,Medium,30-60,IT,54.77,Average
5,5.03,43.7,66.0,3,7.2,0,<6,9.9,Medium,30-60,ME,38.38,Below Average
2,4.19,42.6,60.5,5,3.0,0,<6,15.3,Medium,30-60,IT,28.12,At Risk
6,7.13,64.3,76.5,1,11.6,3,6-8,10.1,Medium,<30,ME,64.66,Good
6,9.42,87.1,86.8,0,32.8,4,6-8,0.0,Low,30-60,ICT,86.46,Excellent
3,7.85,79.5,79.3,0,21.0,2,6-8,3.3,Medium,<30,CE,74.59,Good
1,8.15,72.8,85.8,0,17.5,5,6-8,8.6,Medium,>60,CE,75.92,Good
1,6.42,60.3,90.2,2,15.5,3,<6,1.9,Low,<30,IT,62.59,Good
4,6.75,66.6,87.9,2,16.2,3,6-8,10.5,Low,>60,EC,62.0,Good
6,4.22,32.3,54.4,4,3.0,0,>8,18.4,Low,<30,ICT,26.3,At Risk
5,7.31,63.5,83.3,1,11.3,3,<6,3.7,Low,30-60,EC,62.67,Good
4,6.55,55.4,76.1,2,7.9,1,<6,13.7,Low,>60,EC,47.45,Average
1,6.42,44.7,78.0,3,5.9,1,>8,12.0,Medium,>60,ICT,47.16,Average
2,6.49,50.1,76.2,4,13.5,0,<6,9.7,Medium,30-60,ME,47.08,Average
0,7.39,58.5,77.9,-1,17.8,1,<6,13.1,High,30-60,CE,59.46,Good
1,5.4,56.1,63.0,0,9.9,1,6-8,4.4,Low,<30,IT,51.41,Average
0,6.18,61.4,82.4,-1,12.5,1,<6,11.6,High,30-60,ICT,56.59,Average
5,6.28,60.1,68.5,3,10.6,2,6-8,6.2,Low,<30,IT,52.59,Average
4,6.76,66.9,81.7,1,17.1,1,>8,6.1,Low,<30,EC,61.68,Good
7,4.58,46.5,70.2,8,10.2,0,<6,13.4,High,>60,ICT,27.55,At Risk
6,6.54,59.3,66.1,2,19.2,2,6-8,10.7,Medium,<30,EE,57.31,Average
2,4.48,32.0,63.2,6,7.5,0,6-8,10.4,Medium,30-60,CE,31.13,At Risk
5,4.67,43.7,64.5,3,10.7,2,6-8,7.5,Medium,30-60,EC,43.77,Average
0,9.78,70.8,78.1,-1,11.1,2,6-8,8.1,Medium,<30,IT,75.14,Good
7,4.53,42.7,65.8,7,11.1,0,6-8,9.2,Medium,<30,IT,34.77,At Risk
4,6.6,51.8,69.0,4,14.6,0,<6,12.4,Low,30-60,EE,43.22,Average
1,6.76,41.8,86.1,1,27.4,4,6-8,6.8,Medium,>60,EE,66.0,Good
4,5.16,52.0,75.6,8,6.4,0,<6,7.7,Medium,30-60,ME,34.83,At Risk
7,8.47,78.6,89.8,0,23.7,4,6-8,2.2,Medium,<30,IT,83.48,Excellent
6,7.51,73.4,80.3,2,20.0,5,<6,2.3,High,>60,ME,67.26,Good
2,6.6,50.4,52.2,0,16.4,0,6-8,11.0,Medium,30-60,EC,50.03,Average
3,5.3,50.4,67.1,3,6.9,1,<6,11.3,Medium,>60,ME,40.42,Below Average
6,6.81,63.5,67.4,3,11.7,2,6-8,8.0,Medium,<30,EC,56.29,Average
7,4.9,38.9,55.4,5,11.5,2,<6,17.1,Medium,30-60,ICT,32.79,At Risk
7,4.99,42.8,71.2,3,11.1,0,>8,13.1,High,<30,ICT,41.51,Below Average
7,6.05,49.5,79.7,3,14.9,1,6-8,6.7,Medium,>60,IT,52.14,Average
4,6.94,67.2,78.8,2,23.0,1,6-8,6.8,Medium,>60,EC,61.45,Good
6,6.31,59.6,64.8,1,11.3,2,>8,11.0,Medium,>60,IT,51.86,Average
3,5.57,50.5,61.2,2,14.1,2,6-8,7.6,Low,30-60,EC,47.37,Average
6,8.13,63.6,84.0,0,23.1,5,6-8,4.2,Medium,<30,EC,78.91,Excellent
3,3.94,42.6,56.6,4,5.6,0,<6,12.1,High,<30,ME,29.54,At Risk
4,4.64,41.4,68.4,5,8.3,1,<6,8.2,Low,<30,ME,35.64,At Risk
3,7.17,69.6,85.4,3,19.6,4,<6,6.3,High,<30,EE,65.65,Good
7,5.15,38.5,54.3,6,5.3,1,<6,10.9,Medium,>60,CE,28.45,At Risk
0,6.77,65.7,65.3,-1,5.6,1,>8,12.8,Medium,<30,EC,55.69,Average
7,7.04,62.6,79.2,4,17.7,3,6-8,1.6,High,>60,IT,59.34,Good
3,4.83,41.0,58.9,6,22.2,1,<6,11.3,Medium,30-60,IT,34.83,At Risk
4,6.48,64.3,77.3,8,14.6,3,<6,13.3,Medium,30-60,EE,46.8,Average
6,6.31,40.9,65.2,5,13.8,1,>8,11.1,Medium,<30,ME,43.72,Average
5,5.51,61.6,63.1,1,10.1,1,<6,11.9,Low,30-60,ICT,45.36,Average
7,3.7,39.2,44.6,8,10.6,0,6-8,14.5,Low,<30,ME,20.03,At Risk
4,6.01,66.7,74.4,1,9.4,1,6-8,10.0,Medium,<30,EC,57.45,Average
4,4.58,41.6,71.5,3,9.8,2,6-8,10.5,Medium,<30,EC,45.75,Average
7,6.5,48.9,62.8,3,22.2,2,<6,11.6,Low,30-60,IT,47.27,Average
7,5.71,43.5,74.9,2,13.3,1,6-8,14.3,Medium,30-60,CE,49.52,Average
1,5.74,57.2,61.8,2,14.6,1,6-8,16.1,Medium,30-60,ME,47.87,Average
2,6.84,63.6,79.6,2,15.1,2,6-8,7.4,Low,<30,EE,60.94,Good
5,6.62,64.6,85.0,0,19.7,1,>8,5.0,Low,30-60,EE,63.11,Good
7,5.91,51.7,70.5,4,13.7,1,<6,4.9,High,<30,ICT,46.71,Average
4,8.3,90.6,80.4,0,22.5,4,6-8,2.1,Low,>60,IT,77.15,Excellent
5,4.16,31.8,62.3,7,3.0,0,>8,13.3,Low,>60,ICT,21.67,At Risk
0,8.9,60.9,79.5,-1,14.0,1,>8,9.5,Low,>60,IT,64.03,Good
4,7.19,66.8,87.8,1,25.0,3,6-8,7.5,Low,<30,EC,70.79,Good
1,7.71,73.6,71.6,2,13.9,1,6-8,4.1,High,>60,EC,59.97,Good
2,5.36,35.5,66.6,3,6.9,0,<6,10.7,Low,<30,ICT,37.36,Below Average
1,5.9,57.9,74.7,4,8.9,1,6-8,7.9,High,<30,EE,49.73,Average
1,5.55,46.1,79.8,1,16.1,1,<6,16.3,Low,30-60,EE,48.43,Average
7,7.34,71.2,89.3,1,16.4,2,6-8,4.3,Medium,30-60,EE,70.13,Good
2,5.7,41.4,75.0,5,12.8,2,6-8,9.0,Medium,30-60,IT,46.54,Average
4,7.16,62.5,58.6,1,13.0,4,6-8,9.4,High,<30,ICT,59.82,Good
0,9.82,64.6,66.7,-1,21.2,2,6-8,7.5,Medium,30-60,EC,71.97,Good
6,9.25,83.8,99.4,0,27.0,5,6-8,0.0,Medium,<30,ICT,92.59,Excellent
5,6.66,64.4,70.3,2,19.6,2,<6,6.4,High,30-60,EE,55.88,Average
2,4.85,58.5,83.4,4,9.5,1,>8,11.9,Low,<30,EE,46.34,Average
0,9.05,35.3,69.5,-1,8.8,1,>8,12.2,High,30-60,ICT,57.28,Average
2,5.98,53.7,83.2,3,8.2,1,6-8,6.9,Low,30-60,ICT,51.44,Average
5,6.46,58.3,83.5,3,14.3,2,>8,4.2,Low,30-60,EC,56.17,Average
0,9.32,30.0,49.4,-1,6.9,0,>8,15.0,Medium,>60,EC,48.14,Average
0,8.14,46.0,68.3,-1,8.4,1,>8,4.7,Medium,30-60,ICT,58.66,Average
3,5.84,61.7,74.3,1,18.2,3,6-8,6.5,Low,>60,CE,57.29,Average
1,6.47,49.7,72.0,1,9.0,2,6-8,6.7,High,30-60,CE,54.85,Average
5,7.52,58.8,77.5,0,19.6,2,6-8,3.9,High,>60,IT,65.05,Good
1,2.56,25.7,58.6,7,3.0,0,<6,11.7,High,<30,EE,17.16,At Risk
7,6.95,52.5,75.9,2,25.1,3,6-8,6.6,Medium,<30,CE,64.34,Good
3,7.04,70.2,91.4,0,16.9,3,6-8,4.4,Medium,<30,EE,74.37,Good
1,6.96,65.7,66.7,1,31.6,5,6-8,7.2,Medium,<30,ICT,70.0,Good
0,5.29,45.1,56.8,-1,7.6,1,<6,11.6,High,<30,IT,43.26,Average
3,6.44,47.4,75.6,2,5.8,2,6-8,3.4,Medium,30-60,IT,54.8,Average
6,6.19,54.9,71.5,6,13.6,2,<6,13.7,Medium,>60,ME,42.74,Below Average
3,5.61,32.7,72.7,6,12.4,1,6-8,13.9,Low,30-60,ICT,37.66,Below Average
1,6.31,50.1,62.9,6,16.4,1,>8,7.7,Medium,>60,EC,41.54,Below Average
4,4.49,34.1,65.5,5,10.8,0,6-8,7.2,Low,<30,CE,34.98,At Risk
2,7.89,71.4,82.4,0,21.3,3,6-8,11.6,Medium,30-60,ICT,72.51,Good
4,5.97,69.2,81.7,1,14.9,3,6-8,1.5,Medium,>60,ME,63.54,Good
3,4.55,49.7,80.5,3,11.6,0,6-8,12.4,Medium,>60,EE,44.12,Average
5,6.02,48.3,63.0,3,17.8,2,6-8,10.4,Medium,>60,ME,48.05,Average
6,6.24,64.6,68.3,5,18.1,2,<6,7.2,Medium,30-60,EC,49.34,Average
7,6.77,57.5,63.5,2,16.2,2,6-8,8.9,Medium,30-60,EE,55.2,Average
5,7.83,80.5,79.5,1,20.1,4,>8,3.6,Low,<30,EE,72.45,Good
3,6.91,73.5,83.3,1,21.8,3,6-8,6.3,Medium,30-60,CE,69.71,Good
3,7.22,55.4,81.3,1,19.3,3,6-8,11.3,Medium,>60,IT,63.76,Good
5,6.71,54.8,68.3,6,15.0,2,6-8,11.1,Low,<30,CE,47.73,Average
2,5.3,26.2,58.7,6,3.0,0,<6,18.2,Medium,<30,CE,27.17,At Risk
5,8.32,73.2,86.0,0,25.9,3,<6,3.0,Medium,<30,EE,77.22,Excellent
5,5.35,41.3,73.9,4,8.0,1,6-8,14.3,Medium,30-60,ICT,42.92,Below Average
5,8.16,82.1,97.9,0,25.7,5,6-8,7.3,Low,>60,EE,81.71,Excellent
2,6.8,63.5,76.0,1,10.3,2,6-8,6.5,Medium,>60,IT,59.6,Good
4,9.45,85.8,91.6,0,23.4,2,6-8,7.0,Medium,30-60,EE,82.82,Excellent
1,7.05,61.4,83.2,4,16.4,3,<6,11.0,Medium,30-60,EE,57.8,Average
1,3.67,38.5,56.3,4,6.1,0,6-8,14.6,Medium,<30,IT,31.13,At Risk
6,5.68,47.3,71.2,3,6.1,2,<6,8.3,High,<30,IT,45.96,Average
3,6.44,68.2,75.6,3,11.5,1,6-8,9.2,Low,<30,EE,54.73,Average
4,5.33,46.2,64.8,5,6.9,1,<6,9.6,High,>60,EE,34.9,At Risk
2,6.18,58.9,72.1,1,12.8,3,>8,7.5,Medium,<30,CE,59.02,Good
2,5.15,43.2,60.6,4,10.1,0,<6,20.0,Low,>60,CE,30.35,At Risk
6,6.61,42.7,75.6,5,13.3,2,6-8,7.3,High,>60,IT,47.81,Average
6,6.6,71.9,83.2,2,10.4,3,6-8,10.7,Medium,30-60,ICT,62.83,Good
6,5.32,37.7,67.9,5,8.7,2,<6,9.8,Medium,<30,IT,40.11,Below Average
6,8.56,79.0,99.3,0,25.8,4,6-8,0.9,Medium,30-60,ICT,86.2,Excellent
3,6.36,58.0,68.5,3,9.6,2,<6,9.5,Medium,<30,EE,50.82,Average
6,5.78,58.8,78.9,4,8.5,0,6-8,9.7,Medium,30-60,EC,48.54,Average
3,5.01,43.3,70.8,6,5.9,1,<6,15.8,High,30-60,ICT,33.22,At Risk
0,7.17,57.2,73.4,-1,25.6,3,6-8,9.9,Medium,<30,EC,67.89,Good
5,5.79,57.9,80.9,3,17.2,2,6-8,0.4,Low,30-60,IT,56.11,Average
1,7.36,68.5,92.2,1,20.4,3,<6,5.5,Low,30-60,CE,68.3,Good
3,5.6,56.4,54.7,5,14.6,3,<6,9.5,Medium,>60,CE,40.42,Below Average
1,6.27,58.0,67.9,4,12.4,1,6-8,11.6,High,30-60,IT,47.45,Average
3,8.56,71.0,91.4,1,25.5,4,6-8,3.1,High,30-60,EC,78.96,Excellent
7,6.78,48.9,90.3,4,19.1,3,6-8,11.1,Low,30-60,IT,58.28,Average
4,6.17,51.4,63.4,3,13.5,2,<6,10.9,High,30-60,EC,45.67,Average
1,6.97,65.2,81.2,0,10.3,2,6-8,5.6,Medium,>60,ME,63.96,Good
5,6.61,61.9,62.4,0,12.0,3,<6,8.4,Low,30-60,EE,54.6,Average
6,4.65,41.1,64.6,8,7.2,2,6-8,11.4,Low,>60,ICT,29.53,At Risk
1,6.85,68.1,56.2,4,15.7,1,>8,8.5,Low,<30,CE,48.21,Average
5,6.11,61.0,77.0,1,11.7,2,<6,3.4,Medium,<30,EE,58.57,Average
4,7.0,70.9,82.1,3,18.5,3,<6,1.8,Medium,>60,CE,61.95,Good
4,5.01,44.8,82.4,6,6.5,0,<6,7.3,Low,30-60,ICT,36.85,Below Average
7,5.37,51.0,67.7,1,12.1,2,6-8,9.6,Medium,>60,CE,50.15,Average
0,6.32,75.3,100.0,-1,26.7,4,6-8,0.0,Low,30-60,EE,77.28,Excellent
5,8.59,82.5,86.1,0,17.0,4,>8,3.2,Low,30-60,ME,76.86,Excellent
0,5.87,25.9,55.5,-1,6.2,0,<6,19.1,Medium,30-60,EE,37.51,Below Average
6,7.97,66.3,74.7,0,16.2,4,<6,7.5,Medium,30-60,ICT,68.07,Good
7,6.18,56.3,70.3,1,17.8,3,6-8,3.7,High,30-60,EC,58.94,Average
0,9.07,41.2,74.2,-1,9.3,1,<6,7.5,Low,<30,EE,60.28,Good
0,6.42,52.0,69.2,-1,12.2,0,6-8,6.3,Low,>60,EC,51.69,Average
7,5.51,52.9,63.0,4,8.6,1,<6,7.9,Low,30-60,EC,39.17,Below Average
7,5.92,61.6,73.9,4,9.9,1,6-8,14.8,Low,30-60,ICT,46.63,Average
7,5.43,53.2,67.3,5,10.0,0,<6,11.0,Medium,30-60,CE,38.66,Below Average
7,4.41,38.6,64.3,4,7.2,0,6-8,4.3,Low,30-60,ICT,35.25,At Risk
4,5.0,47.0,48.7,6,4.3,1,6-8,12.5,Low,>60,ME,27.75,At Risk
7,7.18,61.4,70.2,0,15.1,4,>8,11.6,High,30-60,ME,62.33,Good
7,6.45,69.6,70.9,2,14.8,1,>8,9.0,Medium,<30,EE,56.81,Average
0,7.53,73.6,81.3,-1,23.5,2,<6,3.4,Medium,>60,EE,68.43,Good
6,5.75,62.7,81.7,1,14.6,2,6-8,7.2,Medium,>60,EC,58.85,Average
5,4.51,30.2,66.6,4,6.3,0,6-8,17.5,Low,30-60,CE,31.54,At Risk
1,7.11,70.4,88.0,0,16.2,3,6-8,1.5,Medium,30-60,IT,72.68,Good
5,6.17,51.9,86.6,1,13.6,2,6-8,8.9,Medium,<30,EE,61.93,Good
4,7.17,62.3,85.5,0,9.4,3,6-8,7.5,High,>60,ICT,65.11,Good
6,5.18,59.7,60.0,2,3.0,0,>8,15.4,Medium,<30,ME,41.86,Below Average
6,5.69,61.9,65.5,4,13.7,3,6-8,5.6,High,30-60,EC,50.24,Average
7,6.34,45.3,69.4,2,12.7,1,6-8,13.2,Medium,<30,ME,51.59,Average
0,8.3,65.1,76.3,-1,16.8,3,<6,4.5,Medium,<30,EC,70.13,Good
5,6.69,64.1,74.4,2,12.2,2,6-8,3.5,Low,30-60,EE,57.75,Average
3,6.05,67.7,58.4,1,10.9,3,<6,11.7,Medium,>60,ME,50.41,Average
6,8.48,88.2,90.8,0,26.9,5,6-8,7.8,Medium,30-60,ME,85.09,Excellent
4,5.11,48.0,58.9,3,5.8,1,<6,12.1,High,<30,CE,38.09,Below Average
4,4.58,51.3,41.3,6,11.0,0,>8,12.9,Medium,30-60,EE,27.05,At Risk
0,6.0,53.7,68.9,-1,15.7,0,>8,8.5,Low,>60,IT,49.66,Average
4,3.56,34.7,58.1,7,4.7,1,<6,17.9,Medium,<30,EE,23.27,At Risk
3,4.73,49.0,57.5,3,12.9,2,6-8,11.9,High,>60,CE,39.77,Below Average
2,6.53,47.3,87.6,0,22.5,2,6-8,8.2,Medium,<30,ME,66.69,Good
7,4.93,45.1,69.7,6,13.7,1,<6,15.9,Medium,30-60,ICT,35.98,At Risk
5,5.88,41.1,80.4,4,13.5,2,>8,12.6,Medium,30-60,CE,48.49,Average
4,5.24,44.4,56.1,6,3.0,0,<6,15.8,High,30-60,CE,27.39,At Risk
6,5.64,57.6,67.3,5,9.0,1,6-8,14.1,Medium,30-60,ICT,43.18,Average
2,5.44,43.5,85.8,2,11.2,2,6-8,6.0,Medium,<30,ME,56.29,Average
4,7.25,55.9,87.6,0,21.6,3,<6,4.7,Medium,30-60,EE,68.52,Good
6,3.81,31.6,44.8,7,12.5,0,>8,20.0,High,<30,CE,19.6,At Risk
1,6.06,48.9,77.5,5,16.3,1,6-8,5.2,High,30-60,ICT,48.9,Average
2,7.37,88.0,73.1,1,26.6,4,<6,0.9,Medium,>60,ME,70.48,Good
