last_sem_spi,internal_assessment_avg,attendance_percentage,total_backlogs,pyq_solving_frequency,study_hours_weekly,sleep_category,gaming_hours_weekly,assignment_delay_count,department,travel_time_category,extra_curricular_level,sleep_score,travel_score,extra_score,ps,performance_category
3.45,55.6,57.8,0,1,20.2,6-8,11.7,1,IT,>60,Low,1.0,0.4,0.3,40.5,Average
3.47,43.2,33.3,1,0,46.4,<6,6.1,2,CE,30-60,Low,0.3,0.7,0.3,25.99,At Risk
2.02,51.7,49.9,2,1,49.8,6-8,0.6,0,CE,<30,Low,1.0,1.0,0.3,37.17,At Risk
2.03,45.6,99.1,2,2,46.6,<6,21.7,4,CE,<30,Medium,0.3,1.0,0.7,34.25,At Risk
4.13,35.6,100.0,1,1,5.2,6-8,24.7,4,IT,30-60,Medium,1.0,0.7,0.7,30.75,At Risk
7.87,63.6,76.9,0,3,15.8,6-8,10.9,2,IT,30-60,High,1.0,0.7,1.0,67.93,Average
6.47,31.6,91.0,2,3,29.0,>8,5.5,2,ME,>60,Low,0.8,0.4,0.3,50.14,Average
1.92,88.0,23.5,0,3,40.3,6-8,12.0,3,ME,30-60,High,1.0,0.7,1.0,49.68,Average
8.67,50.5,42.1,0,2,10.1,6-8,6.0,1,IT,30-60,Low,1.0,0.7,0.3,52.75,Average
6.41,71.7,49.5,1,1,30.3,<6,21.6,4,EC,<30,Low,0.3,1.0,0.3,42.66,Average
9.65,78.6,21.0,1,2,15.1,>8,29.6,1,ME,30-60,Medium,0.8,0.7,0.7,57.36,Average
7.03,46.7,50.2,1,3,23.3,>8,1.4,2,ME,30-60,Medium,0.8,0.7,0.7,50.81,Average
2.58,74.9,27.4,5,5,47.2,6-8,12.3,2,EC,>60,Medium,1.0,0.4,0.7,44.04,Average
5.26,79.9,61.4,0,4,21.2,6-8,18.8,1,ME,>60,Low,1.0,0.4,0.3,64.39,Average
6.84,44.5,20.4,1,3,32.8,6-8,6.2,1,ME,30-60,Low,1.0,0.7,0.3,45.12,Average
1.25,89.5,41.6,2,5,13.5,6-8,22.7,2,IT,<30,Low,1.0,1.0,0.3,40.54,Average
1.13,31.2,89.3,3,0,8.5,<6,24.3,3,ME,30-60,High,0.3,0.7,1.0,7.79,At Risk
2.16,43.0,37.0,1,4,46.2,6-8,5.6,2,ME,30-60,Low,1.0,0.7,0.3,36.81,At Risk
3.26,76.8,25.2,2,3,49.6,>8,14.1,2,EE,30-60,Low,0.8,0.7,0.3,45.14,Average
4.87,41.6,40.0,1,1,6.2,<6,28.8,0,ME,>60,Medium,0.3,0.4,0.7,24.09,At Risk
5.39,71.9,86.2,1,4,26.6,6-8,0.4,1,EE,30-60,High,1.0,0.7,1.0,71.92,Good
2.24,81.3,67.0,2,2,7.4,<6,26.1,3,EE,<30,Low,0.3,1.0,0.3,30.53,At Risk
7.06,87.6,66.9,1,4,29.8,6-8,12.2,5,CE,<30,Low,1.0,1.0,0.3,68.11,Average
6.37,58.5,20.0,0,1,39.9,6-8,3.3,3,EC,<30,Medium,1.0,1.0,0.7,46.42,Average
3.65,88.3,57.8,1,2,25.6,6-8,26.1,0,ME,30-60,High,1.0,0.7,1.0,56.77,Average
1.12,54.7,41.2,0,3,14.5,<6,25.9,1,EE,<30,Medium,0.3,1.0,0.7,23.23,At Risk
1.7,43.1,46.9,2,5,30.7,6-8,19.3,2,EE,<30,Low,1.0,1.0,0.3,29.34,At Risk
4.53,60.8,67.9,2,1,15.5,6-8,3.4,0,EC,<30,Medium,1.0,1.0,0.7,45.4,Average
2.39,69.0,89.9,5,4,43.2,6-8,27.5,2,ME,30-60,Medium,1.0,0.7,0.7,47.72,Average
4.39,57.5,34.5,2,0,40.1,6-8,25.9,1,CE,<30,Medium,1.0,1.0,0.7,33.63,At Risk
6.65,64.0,81.5,1,5,31.1,>8,26.3,3,ICT,<30,Low,0.8,1.0,0.3,61.99,Average
5.93,55.0,23.9,2,4,23.9,6-8,13.2,0,IT,<30,High,1.0,1.0,1.0,46.47,Average
3.08,61.5,46.1,0,2,43.1,6-8,27.7,2,CE,30-60,Medium,1.0,0.7,0.7,43.31,Average
4.09,87.2,37.5,0,3,35.5,<6,4.9,0,CE,>60,Medium,0.3,0.4,0.7,60.77,Average
6.53,60.0,93.2,2,4,35.5,6-8,25.8,3,ME,30-60,Medium,1.0,0.7,0.7,63.02,Average
8.75,45.2,34.2,1,1,35.9,>8,10.5,0,EC,30-60,Low,0.8,0.7,0.3,50.64,Average
7.78,75.5,66.3,1,5,10.4,<6,25.9,1,IT,<30,High,0.3,1.0,1.0,64.13,Average
5.98,50.3,33.2,0,3,31.3,<6,14.3,2,ME,>60,Low,0.3,0.4,0.3,42.95,Average
4.26,79.0,57.9,1,1,21.0,6-8,9.7,1,IT,30-60,Medium,1.0,0.7,0.7,51.92,Average
4.29,33.4,53.1,6,4,23.0,<6,22.2,1,CE,>60,Low,0.3,0.4,0.3,20.43,At Risk
8.91,49.9,23.3,1,0,29.8,>8,14.4,4,IT,>60,High,0.8,0.4,1.0,42.98,Average
1.35,35.7,86.1,2,4,49.8,6-8,15.0,1,EE,<30,Low,1.0,1.0,0.3,39.64,At Risk
9.89,35.1,82.4,1,1,45.7,6-8,17.3,1,IT,30-60,Medium,1.0,0.7,0.7,64.37,Average
6.98,69.5,42.2,0,1,49.8,6-8,25.4,0,ICT,30-60,High,1.0,0.7,1.0,63.65,Average
7.13,53.1,69.1,0,1,41.3,6-8,28.5,0,ME,>60,High,1.0,0.4,1.0,61.74,Average
1.34,82.3,49.0,0,0,10.5,6-8,12.3,3,IT,>60,Low,1.0,0.4,0.3,33.7,At Risk
6.45,61.0,81.5,0,0,11.7,6-8,18.1,1,EC,>60,Low,1.0,0.4,0.3,52.7,Average
5.36,47.7,75.4,0,5,15.3,6-8,13.5,1,CE,>60,Low,1.0,0.4,0.3,56.46,Average
1.95,73.3,27.2,2,4,49.9,<6,14.5,1,CE,30-60,Medium,0.3,0.7,0.7,42.0,Average
3.5,67.4,87.5,0,1,27.7,<6,22.7,1,EE,30-60,Medium,0.3,0.7,0.7,48.46,Average
9.01,78.0,34.4,0,3,39.9,<6,22.3,1,ME,30-60,Low,0.3,0.7,0.3,66.79,Average
5.95,68.6,33.9,0,3,39.3,<6,20.3,3,EE,30-60,Low,0.3,0.7,0.3,49.01,Average
4.72,40.0,78.7,1,4,48.7,<6,7.2,0,ICT,<30,High,0.3,1.0,1.0,55.09,Average
1.65,70.2,34.7,0,3,9.2,>8,23.0,4,ME,30-60,High,0.8,0.7,1.0,29.92,At Risk
7.43,53.5,29.8,1,4,9.0,<6,26.1,1,CE,<30,Medium,0.3,1.0,0.7,40.81,Average
7.33,57.8,46.8,4,4,39.2,<6,28.4,2,ICT,30-60,Low,0.3,0.7,0.3,45.24,Average
6.53,85.3,87.1,0,2,5.7,<6,12.1,1,CE,30-60,Medium,0.3,0.7,0.7,65.18,Average
5.59,51.6,34.1,0,4,44.3,6-8,13.9,1,EC,<30,Low,1.0,1.0,0.3,52.37,Average
4.9,66.7,47.1,4,4,28.0,<6,25.3,0,ME,<30,Medium,0.3,1.0,0.7,41.56,Average
6.34,51.8,42.9,0,0,16.6,>8,9.1,3,CE,>60,High,0.8,0.4,1.0,40.76,Average
3.1,35.7,48.5,1,2,46.0,<6,25.0,0,EE,<30,High,0.3,1.0,1.0,30.79,At Risk
9.47,57.2,77.1,1,1,38.3,>8,25.7,2,IT,<30,Medium,0.8,1.0,0.7,63.12,Average
6.3,65.8,52.4,4,3,18.1,>8,12.1,1,ME,>60,Low,0.8,0.4,0.3,47.19,Average
3.8,54.5,80.8,1,4,38.3,6-8,30.0,0,CE,<30,Low,1.0,1.0,0.3,52.5,Average
5.05,53.4,71.2,1,5,18.7,6-8,11.4,2,IT,>60,Low,1.0,0.4,0.3,54.22,Average
8.25,79.2,48.9,2,4,29.2,<6,10.9,1,ICT,30-60,Medium,0.3,0.7,0.7,66.77,Average
2.45,31.8,54.6,0,1,38.7,<6,13.9,1,ME,<30,Low,0.3,1.0,0.3,24.19,At Risk
3.64,47.7,76.3,0,4,24.1,6-8,5.4,2,EC,>60,High,1.0,0.4,1.0,53.35,Average
7.12,78.7,62.8,0,0,41.6,6-8,28.4,4,ME,30-60,Low,1.0,0.7,0.3,58.45,Average
3.84,85.2,89.5,1,3,12.1,<6,16.1,0,IT,30-60,Medium,0.3,0.7,0.7,58.93,Average
8.13,54.7,94.7,0,4,28.3,6-8,21.0,1,ME,<30,High,1.0,1.0,1.0,73.68,Good
2.17,83.3,77.4,1,2,6.3,6-8,12.0,0,ICT,<30,Medium,1.0,1.0,0.7,49.36,Average
7.86,41.9,99.1,0,5,49.1,6-8,1.3,3,EE,30-60,Low,1.0,0.7,0.3,76.24,Good
1.62,43.3,67.7,0,5,12.9,>8,26.2,2,IT,<30,Medium,0.8,1.0,0.7,32.62,At Risk
1.11,80.8,23.2,0,2,12.4,6-8,24.3,4,IT,30-60,Low,1.0,0.7,0.3,26.46,At Risk
9.08,84.2,60.4,0,1,24.9,6-8,21.6,1,EC,<30,Low,1.0,1.0,0.3,69.99,Average
6.23,43.4,38.4,1,5,8.0,6-8,28.4,2,EC,30-60,Low,1.0,0.7,0.3,38.6,At Risk
4.17,33.6,46.7,0,5,44.2,>8,7.7,1,EC,<30,Low,0.8,1.0,0.3,45.3,Average
3.09,35.4,59.2,1,2,13.7,<6,5.1,1,EE,<30,High,0.3,1.0,1.0,26.69,At Risk
6.55,45.7,43.6,1,1,33.4,6-8,5.7,1,ICT,30-60,High,1.0,0.7,1.0,47.99,Average
5.58,75.7,44.8,1,4,40.5,6-8,7.0,2,EE,30-60,High,1.0,0.7,1.0,65.29,Average
9.92,60.6,52.2,2,2,27.5,6-8,19.4,0,ME,30-60,Low,1.0,0.7,0.3,62.73,Average
9.85,57.3,42.9,3,0,6.6,6-8,13.8,0,EE,<30,Medium,1.0,1.0,0.7,47.1,Average
6.72,65.0,33.6,2,1,19.3,>8,27.9,0,CE,<30,Medium,0.8,1.0,0.7,41.36,Average
4.99,83.4,81.2,3,2,32.4,6-8,25.9,0,IT,<30,Medium,1.0,1.0,0.7,59.9,Average
5.42,35.4,51.6,0,3,21.7,6-8,16.7,4,ICT,<30,Low,1.0,1.0,0.3,34.83,At Risk
7.14,71.7,86.5,0,0,34.1,6-8,15.5,5,EE,30-60,Low,1.0,0.7,0.3,60.22,Average
1.91,85.6,90.6,1,0,28.1,6-8,25.0,0,EC,30-60,Medium,1.0,0.7,0.7,52.02,Average
3.96,42.8,80.1,0,1,26.5,>8,15.0,1,ICT,<30,Medium,0.8,1.0,0.7,41.24,Average
1.68,80.3,51.7,1,2,16.0,>8,17.4,2,ICT,<30,Medium,0.8,1.0,0.7,37.41,At Risk
1.66,71.9,77.7,1,3,47.8,6-8,13.2,2,EC,30-60,Low,1.0,0.7,0.3,53.25,Average
2.76,30.9,32.4,2,2,30.3,6-8,6.7,1,ME,30-60,Low,1.0,0.7,0.3,22.14,At Risk
5.37,43.9,72.9,1,2,14.9,6-8,7.3,1,EE,<30,Low,1.0,1.0,0.3,43.22,Average
8.06,66.4,52.5,0,2,21.5,<6,27.7,2,ICT,30-60,Low,0.3,0.7,0.3,52.4,Average
5.37,60.1,72.5,3,1,10.2,<6,3.5,2,EE,30-60,Low,0.3,0.7,0.3,37.28,At Risk
4.02,61.7,80.4,3,5,40.7,>8,15.1,0,EE,<30,Medium,0.8,1.0,0.7,58.09,Average
1.74,43.9,65.0,1,5,31.7,6-8,21.3,2,EE,<30,Low,1.0,1.0,0.3,36.36,At Risk
5.95,70.5,71.4,0,1,40.1,6-8,15.9,3,ICT,30-60,Low,1.0,0.7,0.3,59.25,Average
3.44,46.0,37.1,1,1,35.8,<6,14.6,5,ICT,<30,Low,0.3,1.0,0.3,19.83,At Risk
6.53,53.4,67.4,1,2,48.3,6-8,10.9,1,ICT,>60,Medium,1.0,0.4,0.7,62.47,Average
9.79,52.1,56.8,2,2,38.5,>8,3.7,1,EC,30-60,Low,0.8,0.7,0.3,63.33,Average
2.0,70.3,54.2,1,3,35.3,>8,27.2,0,EE,<30,Medium,0.8,1.0,0.7,43.98,Average
2.91,35.4,52.8,1,0,32.3,6-8,22.1,0,CE,30-60,Medium,1.0,0.7,0.7,27.14,At Risk
5.26,42.3,44.9,1,0,8.3,>8,29.4,0,EC,30-60,Medium,0.8,0.7,0.7,26.88,At Risk
9.72,42.0,44.4,2,2,7.9,6-8,1.1,2,IT,30-60,High,1.0,0.7,1.0,50.14,Average
7.95,36.5,76.0,0,0,39.7,>8,21.1,3,CE,>60,Low,0.8,0.4,0.3,49.14,Average
9.08,42.5,64.6,2,2,37.4,<6,29.6,1,IT,<30,High,0.3,1.0,1.0,51.2,Average
4.0,66.4,22.4,0,4,15.7,6-8,10.7,2,EC,>60,Medium,1.0,0.4,0.7,45.08,Average
9.93,73.9,23.9,0,0,49.4,>8,15.5,2,EC,30-60,Low,0.8,0.7,0.3,63.9,Average
1.93,69.6,65.6,0,1,11.6,6-8,18.6,2,CE,30-60,Low,1.0,0.7,0.3,36.31,At Risk
1.48,58.5,87.7,0,5,25.2,6-8,7.1,1,CE,<30,High,1.0,1.0,1.0,54.8,Average
8.7,33.1,23.5,1,1,49.9,6-8,10.1,3,EE,30-60,Medium,1.0,0.7,0.7,44.87,Average
9.35,87.5,60.6,2,1,45.9,<6,10.4,2,CE,<30,Low,0.3,1.0,0.3,69.89,Average
1.82,40.1,88.1,4,4,14.1,<6,4.2,2,CE,30-60,Low,0.3,0.7,0.3,26.21,At Risk
2.02,70.1,20.4,1,1,9.6,<6,4.4,5,ME,<30,High,0.3,1.0,1.0,18.48,At Risk
1.3,84.8,42.1,1,4,9.6,6-8,20.0,3,EC,<30,Medium,1.0,1.0,0.7,38.1,At Risk
1.94,71.9,93.6,0,2,16.8,6-8,14.8,2,CE,<30,High,1.0,1.0,1.0,50.3,Average
2.88,43.1,26.5,0,3,27.4,<6,27.9,1,ICT,>60,Low,0.3,0.4,0.3,25.01,At Risk
9.73,48.9,68.6,1,4,43.5,6-8,15.7,1,EE,30-60,Low,1.0,0.7,0.3,72.17,Good
7.01,31.8,60.6,2,1,6.4,<6,17.3,0,IT,30-60,Medium,0.3,0.7,0.7,31.35,At Risk
8.01,66.8,32.1,2,1,27.2,<6,18.9,0,EE,30-60,Low,0.3,0.7,0.3,46.89,Average
7.99,66.8,23.4,1,4,11.6,6-8,21.8,1,IT,>60,Low,1.0,0.4,0.3,53.72,Average
5.82,73.5,60.2,2,0,34.0,>8,4.3,1,EC,<30,Low,0.8,1.0,0.3,51.6,Average
8.18,30.7,78.8,4,1,37.7,6-8,14.9,0,CE,<30,Low,1.0,1.0,0.3,45.68,Average
6.36,79.1,34.2,1,0,15.9,6-8,17.0,2,EE,30-60,Low,1.0,0.7,0.3,45.1,Average
3.83,74.3,75.3,2,0,27.4,>8,13.0,2,ICT,<30,Low,0.8,1.0,0.3,43.23,Average
6.05,38.5,63.7,0,3,27.2,<6,0.5,2,ME,30-60,Medium,0.3,0.7,0.7,47.6,Average
5.8,50.9,48.6,1,3,10.0,<6,29.1,1,ICT,>60,Low,0.3,0.4,0.3,36.31,At Risk
8.41,68.3,73.2,2,5,36.3,<6,10.6,2,EE,30-60,Medium,0.3,0.7,0.7,71.52,Good
9.84,59.7,35.4,2,3,33.7,6-8,11.2,4,EE,<30,High,1.0,1.0,1.0,59.27,Average
4.7,36.9,56.6,1,5,21.1,6-8,27.7,0,IT,<30,Medium,1.0,1.0,0.7,42.18,Average
7.87,35.2,63.9,1,2,8.5,>8,14.6,4,EC,<30,Medium,0.8,1.0,0.7,38.36,At Risk
1.9,76.9,56.7,0,5,24.1,6-8,22.8,1,ME,>60,Medium,1.0,0.4,0.7,54.2,Average
7.99,39.4,51.8,0,4,23.8,6-8,1.4,1,IT,<30,Low,1.0,1.0,0.3,56.74,Average
4.34,40.3,79.3,2,0,25.9,<6,19.9,3,ICT,30-60,Medium,0.3,0.7,0.7,27.64,At Risk
1.35,79.9,72.5,1,5,17.5,>8,15.7,1,ME,30-60,Low,0.8,0.7,0.3,50.62,Average
4.27,66.7,71.2,2,1,47.9,6-8,13.2,3,ICT,>60,Medium,1.0,0.4,0.7,52.35,Average
6.5,66.3,91.3,0,2,5.4,6-8,27.0,1,IT,<30,Low,1.0,1.0,0.3,56.58,Average
2.07,58.8,99.5,2,3,43.3,6-8,27.6,2,ICT,<30,Low,1.0,1.0,0.3,46.51,Average
9.32,64.1,65.4,3,4,30.5,6-8,0.3,4,ICT,30-60,Medium,1.0,0.7,0.7,67.99,Average
1.7,66.1,47.9,2,2,28.4,>8,25.7,1,IT,30-60,Low,0.8,0.7,0.3,31.15,At Risk
9.37,88.1,82.3,1,5,44.7,6-8,13.0,1,EE,>60,High,1.0,0.4,1.0,97.97,Good
7.36,43.4,31.4,1,1,15.3,<6,3.5,4,ICT,30-60,Medium,0.3,0.7,0.7,32.0,At Risk
3.97,42.9,61.0,0,2,12.4,>8,15.1,2,IT,30-60,Medium,0.8,0.7,0.7,34.87,At Risk
4.52,33.4,62.0,2,0,6.6,6-8,6.4,2,ICT,>60,High,1.0,0.4,1.0,26.96,At Risk
7.67,69.5,98.7,0,3,49.9,6-8,4.2,1,EC,30-60,Medium,1.0,0.7,0.7,86.37,Good
6.41,62.9,99.3,3,2,16.2,<6,22.8,3,EE,30-60,Low,0.3,0.7,0.3,47.06,Average
7.04,36.7,83.9,4,0,9.6,6-8,27.3,1,EC,30-60,Low,1.0,0.7,0.3,31.89,At Risk
4.5,51.9,57.8,0,2,41.7,6-8,8.8,0,ME,<30,Low,1.0,1.0,0.3,51.15,Average
5.39,40.7,63.8,1,1,49.1,6-8,23.1,2,EE,>60,High,1.0,0.4,1.0,46.9,Average
9.91,49.9,45.6,3,3,48.3,6-8,4.1,2,CE,30-60,Medium,1.0,0.7,0.7,64.2,Average
2.93,87.1,86.4,1,3,33.9,<6,27.5,2,ICT,<30,Low,0.3,1.0,0.3,53.69,Average
4.76,71.0,79.7,0,2,8.4,6-8,9.8,0,ICT,>60,High,1.0,0.4,1.0,60.69,Average
3.63,30.5,81.7,0,4,34.5,6-8,9.3,1,ME,<30,Medium,1.0,1.0,0.7,47.59,Average
7.89,45.2,31.1,2,1,22.9,6-8,7.4,2,ME,30-60,Low,1.0,0.7,0.3,39.59,At Risk
7.88,30.6,51.9,2,1,34.7,<6,14.8,0,CE,30-60,Medium,0.3,0.7,0.7,40.34,Average
3.63,72.9,63.0,1,1,49.3,<6,17.3,1,ICT,<30,Low,0.3,1.0,0.3,47.6,Average
1.73,58.2,30.0,0,4,17.1,>8,10.5,4,ICT,<30,Medium,0.8,1.0,0.7,29.14,At Risk
1.1,89.6,49.5,0,4,28.9,6-8,11.4,0,CE,<30,Low,1.0,1.0,0.3,54.05,Average
4.85,74.0,27.0,0,1,25.9,<6,27.1,1,ME,30-60,Medium,0.3,0.7,0.7,40.18,Average
4.69,61.1,96.7,1,3,30.0,6-8,25.5,0,ICT,30-60,Low,1.0,0.7,0.3,59.43,Average
9.9,78.3,80.1,0,0,28.7,6-8,9.2,4,ICT,>60,High,1.0,0.4,1.0,76.41,Good
5.23,72.3,69.7,1,2,30.8,6-8,1.0,2,CE,30-60,Medium,1.0,0.7,0.7,60.86,Average
3.31,44.6,36.4,3,2,29.6,<6,12.3,3,ME,>60,Medium,0.3,0.4,0.7,22.11,At Risk
9.02,61.8,46.7,0,4,11.3,6-8,28.7,1,IT,30-60,High,1.0,0.7,1.0,63.13,Average
5.42,63.4,31.6,1,1,16.8,>8,12.9,0,EE,30-60,Medium,0.8,0.7,0.7,41.62,Average
6.39,57.1,62.9,2,1,12.2,6-8,29.4,3,ME,<30,Low,1.0,1.0,0.3,36.5,At Risk
1.86,40.8,85.6,2,3,17.8,6-8,22.1,0,IT,30-60,High,1.0,0.7,1.0,35.81,At Risk
4.45,43.4,21.5,3,2,37.4,>8,9.8,1,ME,>60,Medium,0.8,0.4,0.7,31.14,At Risk
9.5,46.9,28.3,0,1,48.0,6-8,23.3,3,EE,>60,Low,1.0,0.4,0.3,53.33,Average
6.31,30.6,38.3,1,2,14.9,6-8,2.1,0,CE,30-60,Medium,1.0,0.7,0.7,38.03,At Risk
4.1,85.0,77.1,1,5,20.3,6-8,23.8,0,EE,<30,Low,1.0,1.0,0.3,64.35,Average
6.63,71.2,91.5,0,2,31.1,6-8,15.0,1,EC,30-60,Low,1.0,0.7,0.3,70.08,Good
9.19,71.4,80.2,1,1,27.1,>8,15.7,2,EC,<30,Low,0.8,1.0,0.3,66.31,Average
3.47,64.3,62.0,0,2,33.7,6-8,16.0,1,CE,>60,Medium,1.0,0.4,0.7,52.2,Average
5.55,71.4,28.4,1,2,20.7,>8,14.7,3,EC,30-60,Low,0.8,0.7,0.3,41.67,Average
9.63,88.9,80.4,0,3,7.4,<6,22.3,0,CE,<30,Medium,0.3,1.0,0.7,77.33,Good
2.55,53.1,28.5,0,4,23.1,6-8,21.2,2,IT,30-60,Medium,1.0,0.7,0.7,34.52,At Risk
7.48,72.8,47.8,2,4,19.3,6-8,11.8,4,CE,30-60,Medium,1.0,0.7,0.7,57.79,Average
6.53,51.6,44.6,2,3,25.9,<6,15.6,2,EC,30-60,High,0.3,0.7,1.0,43.12,Average
7.12,81.3,48.7,0,1,24.3,<6,20.9,1,ME,30-60,Low,0.3,0.7,0.3,55.76,Average
4.16,81.5,46.4,0,2,39.4,6-8,5.4,3,ME,<30,Medium,1.0,1.0,0.7,56.59,Average
3.82,84.1,81.5,3,5,30.6,>8,26.5,2,CE,<30,Medium,0.8,1.0,0.7,58.69,Average
7.16,30.3,33.7,0,5,12.2,>8,2.8,2,IT,30-60,High,0.8,0.7,1.0,45.59,Average
2.94,47.9,87.7,1,5,28.0,6-8,0.7,0,EC,30-60,Medium,1.0,0.7,0.7,56.81,Average
4.78,38.0,88.7,1,1,46.5,<6,5.7,1,ME,<30,Medium,0.3,1.0,0.7,46.2,Average
2.69,57.2,59.3,0,5,15.1,<6,3.3,0,CE,<30,Low,0.3,1.0,0.3,44.2,Average
1.07,59.7,28.5,0,5,32.3,6-8,21.0,2,EE,>60,Medium,1.0,0.4,0.7,38.41,At Risk
9.73,45.4,66.0,2,0,13.6,6-8,24.7,2,ICT,>60,High,1.0,0.4,1.0,49.44,Average
4.89,73.4,85.7,0,2,24.6,6-8,4.5,3,ME,30-60,Low,1.0,0.7,0.3,60.72,Average
9.72,46.2,43.2,1,0,49.8,6-8,22.9,2,EE,30-60,Medium,1.0,0.7,0.7,55.0,Average
2.26,81.2,87.0,2,3,29.7,6-8,13.9,4,ME,<30,High,1.0,1.0,1.0,52.23,Average
6.29,40.7,74.2,4,0,36.4,>8,3.4,6,ICT,<30,Medium,0.8,1.0,0.7,32.43,At Risk
2.81,52.0,99.0,0,4,24.6,6-8,23.6,2,EE,<30,Low,1.0,1.0,0.3,48.99,Average
8.11,67.3,86.0,1,5,44.8,<6,5.6,0,ICT,30-60,Low,0.3,0.7,0.3,80.56,Good
8.05,66.3,36.1,0,5,16.1,6-8,11.1,2,EE,30-60,Low,1.0,0.7,0.3,62.46,Average
2.01,34.7,55.9,3,2,20.6,>8,15.6,1,ICT,30-60,Medium,0.8,0.7,0.7,19.95,At Risk
9.21,80.8,28.3,2,2,37.6,6-8,9.8,2,EC,<30,Low,1.0,1.0,0.3,63.65,Average
2.75,65.9,25.6,1,3,38.2,6-8,16.4,2,EE,30-60,Low,1.0,0.7,0.3,38.78,At Risk
6.52,82.2,76.5,0,2,40.4,>8,24.7,2,ICT,<30,High,0.8,1.0,1.0,70.01,Good
9.87,82.1,93.0,1,3,45.2,<6,26.6,3,ICT,30-60,High,0.3,0.7,1.0,83.19,Good
8.94,62.8,97.9,2,2,32.6,6-8,20.9,0,CE,30-60,High,1.0,0.7,1.0,74.85,Good
9.61,84.6,41.6,0,0,38.8,6-8,18.2,1,ICT,<30,Medium,1.0,1.0,0.7,71.18,Good
4.08,80.9,36.1,0,2,17.4,6-8,15.1,1,IT,30-60,Medium,1.0,0.7,0.7,49.66,Average
1.95,87.5,64.8,1,3,8.9,<6,23.0,2,EC,<30,Low,0.3,1.0,0.3,39.18,At Risk
2.7,81.0,36.1,0,5,49.4,<6,5.2,1,EE,<30,Medium,0.3,1.0,0.7,57.98,Average
5.5,79.3,43.7,1,5,43.7,6-8,12.4,0,EC,<30,Low,1.0,1.0,0.3,67.93,Average
8.14,58.2,87.0,3,0,37.3,>8,20.0,2,ME,30-60,High,0.8,0.7,1.0,57.13,Average
2.35,42.7,84.8,0,5,9.1,<6,11.4,2,CE,>60,Low,0.3,0.4,0.3,38.65,At Risk
6.94,84.6,91.6,2,5,19.1,<6,11.4,0,ICT,30-60,Low,0.3,0.7,0.3,74.24,Good
3.91,73.4,58.6,1,3,24.8,<6,1.3,0,EE,>60,Low,0.3,0.4,0.3,53.17,Average
4.07,46.9,65.1,2,5,11.5,<6,16.9,4,EE,<30,Low,0.3,1.0,0.3,31.11,At Risk
6.96,50.5,81.6,0,4,21.4,6-8,16.7,3,CE,<30,Medium,1.0,1.0,0.7,59.33,Average
5.2,71.2,39.1,3,0,5.4,6-8,27.6,1,EE,>60,Medium,1.0,0.4,0.7,33.14,At Risk
8.31,58.7,85.8,1,4,11.3,6-8,3.2,3,EE,30-60,Medium,1.0,0.7,0.7,67.32,Average
2.4,34.9,21.4,3,5,18.8,<6,16.2,1,IT,<30,Medium,0.3,1.0,0.7,15.87,At Risk
8.11,38.5,83.8,1,5,33.5,<6,12.1,1,EC,<30,Medium,0.3,1.0,0.7,62.1,Average
1.58,74.7,82.1,1,3,37.9,6-8,2.0,2,IT,30-60,Low,1.0,0.7,0.3,54.77,Average
2.75,49.7,44.1,1,4,19.9,6-8,15.7,0,ME,30-60,Low,1.0,0.7,0.3,37.03,At Risk
6.91,60.5,78.2,0,2,38.7,6-8,16.8,2,EE,30-60,Low,1.0,0.7,0.3,63.55,Average
8.69,76.0,37.1,0,0,16.1,>8,24.1,1,IT,<30,High,0.8,1.0,1.0,55.46,Average
3.27,75.1,66.1,0,0,40.8,<6,24.0,4,IT,<30,Low,0.3,1.0,0.3,39.28,At Risk
3.94,40.0,76.0,1,4,47.0,6-8,2.3,1,CE,30-60,Medium,1.0,0.7,0.7,55.11,Average
5.83,35.9,77.2,1,4,7.6,6-8,21.2,1,CE,30-60,Medium,1.0,0.7,0.7,45.22,Average
2.9,65.5,98.6,0,0,36.8,6-8,8.9,1,CE,<30,Medium,1.0,1.0,0.7,54.42,Average
8.3,74.5,34.6,2,3,9.4,<6,5.0,1,EC,>60,Medium,0.3,0.4,0.7,55.83,Average
7.96,38.9,58.5,2,4,12.5,6-8,28.4,2,CE,<30,Medium,1.0,1.0,0.7,44.3,Average
2.31,52.3,90.4,1,4,38.4,6-8,19.4,4,ME,30-60,Medium,1.0,0.7,0.7,47.2,Average
5.17,82.2,64.9,1,5,11.0,6-8,9.5,2,CE,30-60,Medium,1.0,0.7,0.7,63.93,Average
7.97,86.7,90.1,2,3,25.0,6-8,25.2,2,IT,>60,Medium,1.0,0.4,0.7,76.0,Good
4.04,57.2,54.7,0,3,15.8,>8,3.8,2,IT,<30,Low,0.8,1.0,0.3,42.89,Average
6.7,34.8,83.6,0,0,29.6,6-8,7.8,0,ME,<30,Medium,1.0,1.0,0.7,51.05,Average
1.45,45.5,89.6,1,4,44.0,<6,26.6,2,EC,<30,Medium,0.3,1.0,0.7,38.75,At Risk
6.48,44.0,87.7,2,0,36.7,>8,21.4,1,IT,>60,Medium,0.8,0.4,0.7,48.94,Average
2.37,44.3,89.7,0,1,20.6,<6,9.9,3,ME,>60,High,0.3,0.4,1.0,35.05,At Risk
